Treat,Sample_type,Layer,Spot,Sample,Replicat,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
Sp,Soil_Sp,0_10,1214,1214_0_10,0,427,705.446,1335.737,79.598,25.62,21.22,84.112,0.847,26.926,699,1324,121.329,21.534,1.207,0.828,0.93
Sp,Soil_Sp,0_10,1214,1214_0_10,0,737,1047.695,1370.497,114.711,35.536,26.406,67.668,0.704,38.275,1047,1390,70.145,29.584,1.346,0.743,0.86
Sp,Soil_Sp,0_10,1214,1214_0_10,0,1123,1326.358,1390.218,158.267,60.51,23.63,140.889,0.563,62.008,1306,1368,142.206,27.469,2.561,0.391,0.827
Sp,Soil_Sp,0_10,1214,1214_0_10,0,180,2258.906,1571.05,50.284,17.591,13.029,130.218,0.895,19.209,2253,1564,128.66,14.142,1.35,0.741,0.925
Sp,Soil_Sp,0_10,1214,1214_0_10,0,416,1845.276,1661.195,78.426,26.522,19.971,137.895,0.85,27.803,1837,1650,127.694,21.8,1.328,0.753,0.929
Sp,Soil_Sp,0_10,1214,1214_0_10,0,400,1934.61,1663.822,90.527,35.584,14.312,7.59,0.613,34.438,1919,1670,25.821,14.948,2.486,0.402,0.901
Sp,Soil_Sp,0_10,1214,1214_0_10,0,696,1896.796,1807.457,124.225,44.407,19.956,92.362,0.567,47.381,1896,1780,97.275,24,2.225,0.449,0.83
Sp,Soil_Sp,0_10,1214,1214_0_10,0,293,1537.944,1836.029,64.184,22.007,16.952,121.348,0.894,22.804,1531,1827,127.875,17.75,1.298,0.77,0.929
Sp,Soil_Sp,0_10,1214,1214_0_10,0,311,1470.889,1865.349,65.598,22.734,17.418,20.882,0.908,23.707,1461,1872,27.646,18.252,1.305,0.766,0.937
Sp,Soil_Sp,10_30,1214,1214_10_30,0,288,1275.431,55.688,63.698,21.821,16.805,170.017,0.892,22.472,1266,50,147.724,16.688,1.298,0.77,0.934
Sp,Soil_Sp,10_30,1214,1214_10_30,0,592,451.032,124.439,105.882,42.47,17.748,57.323,0.664,42.19,439,142,58.57,20.204,2.393,0.418,0.87
Sp,Soil_Sp,10_30,1214,1214_10_30,0,360,591.836,247.142,71.012,24.678,18.574,113.62,0.897,25.298,588,235,108.435,19.403,1.329,0.753,0.936
Sp,Soil_Sp,10_30,1214,1214_10_30,0,720,1931.969,258.971,107.64,36.162,25.351,101.918,0.781,36.497,1927,241,99.462,26.247,1.426,0.701,0.905
Sp,Soil_Sp,10_30,1214,1214_10_30,0,173,615.818,250.876,47.698,14.939,14.745,60.899,0.956,16.125,612,258,60.255,15,1.013,0.987,0.928
Sp,Soil_Sp,10_30,1214,1214_10_30,0,2086,614.459,625.302,193.983,61.556,43.147,6.719,0.697,66.611,589,644,35.838,44,1.427,0.701,0.902
Sp,Soil_Sp,10_30,1214,1214_10_30,0,41,1623.11,832.841,38.385,16.068,3.249,10.274,0.35,17.72,1615,836,16.39,4.465,4.946,0.202,0.719
Sp,Soil_Sp,10_30,1214,1214_10_30,0,1117,2068.24,866.975,130.225,42.316,33.609,85.818,0.828,46.487,2060,845,108.825,34,1.259,0.794,0.924
Sp,Soil_Sp,10_30,1214,1214_10_30,0,509,1633.616,870.918,104.912,41.674,15.551,14.508,0.581,42.45,1613,872,15.018,17.785,2.68,0.373,0.844
Sp,Soil_Sp,10_30,1214,1214_10_30,0,554,831.747,913.616,93.941,29.836,23.642,0.67,0.789,32.249,817,920,29.745,23.554,1.262,0.792,0.924
Sp,Soil_Sp,10_30,1214,1214_10_30,0,144,788.333,916.333,74.569,33.235,5.517,54.037,0.325,33.615,780,932,59.621,7.6,6.025,0.166,0.702
Sp,Soil_Sp,10_30,1214,1214_10_30,0,366,981.984,950.604,70.184,24.445,19.064,37.317,0.934,26.077,971,958,32.471,19.799,1.282,0.78,0.951
Sp,Soil_Sp,10_30,1214,1214_10_30,0,401,593.101,1326.43,76.184,28.402,17.977,113.052,0.868,29.155,585,1314,120.964,19.307,1.58,0.633,0.944
Sp,Soil_Sp,10_30,1214,1214_10_30,0,585,911.43,1449.286,96.811,30.521,24.405,174.582,0.784,32.249,895,1444,172.875,26,1.251,0.8,0.911
Sp,Soil_Sp,10_30,1214,1214_10_30,0,54,918.722,1474.463,44.971,13.35,5.15,6.329,0.336,16.125,911,1477,29.745,7.907,2.592,0.386,0.548
Sp,Soil_Sp,10_30,1214,1214_10_30,0,2578,1625.589,1568.993,361.688,161.476,20.328,118.037,0.248,161.245,1584,1505,119.745,27.215,7.944,0.126,0.748
Sp,Soil_Sp,10_30,1214,1214_10_30,0,794,598.854,1680.079,110.811,34.314,29.462,68.356,0.813,36.77,592,1663,112.38,29.893,1.165,0.859,0.907
Sp,Soil_Sp,0_10,1215,1215_0_10,0,293,1540.285,47.565,63.355,21.289,17.523,142.071,0.917,22.672,1533,39,131.424,18.385,1.215,0.823,0.941
Sp,Soil_Sp,0_10,1215,1215_0_10,0,386,1708.943,96.772,76.527,28.328,17.349,85.943,0.828,28.16,1707,83,96.116,17,1.633,0.612,0.939
Sp,Soil_Sp,0_10,1215,1215_0_10,0,1386,1969.826,396.284,187.238,78.058,22.608,30.226,0.497,77.104,1935,414,33.896,27.559,3.453,0.29,0.807
Sp,Soil_Sp,0_10,1215,1215_0_10,0,6557,2013.196,1051.424,746.718,264.824,31.525,81.977,0.148,317.503,1970,1207,72.022,58.3,8.4,0.119,0.427
